galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
UGC04305,22,1.2e-10,0.5620638360045145,1.2e-10,0.5611112868886688,-30.02675357317905,-211.33600141719631,0.1425157569329376,0.03671458943836015,1.011993114659257,37.3,3.45
UGC04325,8,1.2e-10,0.22548252456472495,1.2e-10,0.2270436533647107,-17.523197510418754,-80.40880939689643,0.10687855339166179,0.020340583718303114,1.3740147402919116,92.7,9.6
UGC04483,8,1.2e-10,0.2440549636771079,1.2e-10,0.24326334341118871,-19.600515041978515,-99.21743919259079,0.06946033087015349,0.1987332092513238,0.2855573090077737,24.3,3.34
UGC04499,9,1.2e-10,0.1459526713811196,1.2e-10,0.1448180897109292,-13.760014573820547,-35.56580334032534,0.07432762601288533,0.03383324793116236,0.7307822756663892,74.3,12.5
UGC05005,11,1.2e-10,0.24046048797054737,1.2e-10,0.23982640742381,-13.554574090492592,-31.25129944234714,0.10420673651962446,0.03387567604961128,0.6304278750250238,100.0,53.7
UGC05253,73,1.2e-10,0.07172036076149368,1.2e-10,0.0712705644430053,-17.165400859455747,-73.91824223340443,0.07034600257524991,0.0003580574713031492,2.5194998528595387,248.0,22.9
UGC05414,6,1.2e-10,0.17249103862409876,1.2e-10,0.1711953571140409,-17.288915167177965,-74.00650372491232,0.05944224559255572,0.03213293465460488,1.2049335223541449,61.4,9.4
UGC05716,12,1.2e-10,0.07642944037951288,1.2e-10,0.07658866508799658,-22.181995900795183,-131.7609777079685,0.0331237668012509,0.08347206892684297,-0.6989700043360187,74.7,21.3
UGC05721,23,1.2e-10,0.21592524175056074,1.2e-10,0.21799810194725666,-16.205462935840817,-66.09442716954636,0.08735475369178083,0.030583533999786517,0.36921585741014284,82.6,6.18
UGC05750,11,1.2e-10,0.41553439649722684,1.2e-10,0.4152420109058186,-32.56614638242764,-247.83289743943317,0.13892849924292913,0.033371886606847465,1.039017321997412,78.9,58.7
UGC05764,10,1.2e-10,0.21990829985809668,1.2e-10,0.22037641392732685,-11.266150492077244,-9.65408553516442,0.1192315950785787,0.20138775573741238,0.2576785748691845,55.8,7.47
UGC05829,11,1.2e-10,0.11676111690094054,1.2e-10,0.11620112977970519,-13.565939193292243,-32.575130343015694,0.047508320180731145,0.08746195031890602,0.5587085705331657,68.6,8.64
UGC05918,8,1.2e-10,0.09157627641987796,1.2e-10,0.09141937831168916,-6.356501196581437,50.89194083081222,0.058708846065635874,0.07678783098900936,0.5611013836490559,44.5,7.66
UGC05986,15,1.2e-10,0.13832187969639784,1.2e-10,0.13972306295592385,-14.941809887624295,-51.455392292044706,0.08629727449895731,0.010069254482036924,1.0989896394011773,116.0,8.63
UGC05999,5,1.2e-10,0.14218440877106203,1.2e-10,0.14150261712198117,-9.317343778009054,14.743661902082394,0.07129694715632984,0.04076928900034988,0.34830486304816066,100.0,47.7
UGC06399,9,1.2e-10,0.07545455743056448,1.2e-10,0.07565742028721249,-18.863094887290167,-93.39101073792165,0.07332424412474933,0.019824188079829608,1.0692980121155293,87.6,18.0
UGC06446,17,1.2e-10,0.13583353837637746,1.2e-10,0.13658000235824,-22.694137513378237,-137.27956270989236,0.07387559114418883,0.051163863340765454,0.22271647114758328,84.9,12.0
UGC06614,13,1.2e-10,0.13840082943428691,1.2e-10,0.13291562561568293,-16.009804620558956,-60.78629585444296,0.04520438669588789,0.001377906574137559,1.436162647040756,205.0,88.7
UGC06628,7,1.2e-10,0.4990394477299284,1.2e-10,0.4978619461310019,-38.36378293069908,-302.6578871856745,0.09715211302642178,0.017589626125492818,1.2335037603411345,42.3,15.1
UGC06667,9,1.2e-10,0.2979279244857852,1.2e-10,0.2982628542580702,-11.982444498557932,-17.88824733285621,0.0639505012390794,0.08630803208779188,0.6821450763738317,85.7,18.0
