galaxy,n_pts,V_flat,V_max,M_b,M_gas,M_star,f_gas,g_bar_last,g_obs_last,D
UGC00128,22,128.66666666666666,134.0,21497731345.473312,15060905908.64712,6436825436.826194,0.700581176060628,1.037453881407935e-12,9.420801582091734e-12,64.5
UGC00191,9,80.5,83.85,3820929533.0735607,2637660325.456945,1183269207.6166158,0.6903190186119993,5.348611472548103e-12,2.283084008377126e-11,17.1
UGC00731,12,73.9,74.0,3449800784.0584865,3241082131.9760447,208718652.0824418,0.9394983463836725,4.040895515569336e-12,1.6222225186066464e-11,12.5
UGC00891,5,59.35,63.75,993645805.3721964,758967283.7910697,234678521.58112675,0.7638207494941102,2.536739272605137e-12,1.7822238013293063e-11,10.2
UGC01230,11,103.66666666666667,113.0,17459651802.63499,13325742642.03564,4133909160.5993495,0.7632307214754727,1.823188606006566e-12,9.409189296835648e-12,53.7
UGC01281,25,56.333333333333336,56.9,678273425.8064977,485539982.24512583,192733443.56137186,0.7158469781825771,3.797841331949312e-12,2.1026659729674208e-11,5.27
UGC02023,5,48.1,58.8,920293892.8163226,333413283.58504635,586880609.2312763,0.36229000994967037,8.97999399174173e-12,2.964211254064447e-11,10.4
UGC02259,8,88.10000000000001,90.0,2315231406.002593,1251640268.634736,1063591137.3678572,0.540611303643198,4.871679409790697e-12,3.2248306545872735e-11,10.5
UGC02455,8,52.63333333333333,61.0,2823740079.792903,829629322.9146748,1994110756.878228,0.2938051305966946,2.4240843719097724e-11,2.992270998589427e-11,6.92
UGC02487,17,331.6666666666667,383.0,311243890892.4991,33462047675.113235,277781843217.38586,0.10751069709082493,6.716421418168422e-12,4.4708156720948025e-11,69.1
UGC02885,19,298.0,305.0,363692022762.0161,128107467529.05273,235584555232.9634,0.3522416206881738,9.242345337776027e-12,3.88540668437221e-11,80.6
UGC02916,43,182.66666666666666,218.0,126272933429.73425,44063115701.190315,82209817728.54395,0.34895139048709634,1.2192034478229796e-11,2.793957866764003e-11,65.4
UGC02953,115,265.6666666666667,319.0,151365818005.5642,13508192405.257008,137857625600.3072,0.08924202692024197,5.421643369836827e-12,3.8429888280464715e-11,16.5
UGC03205,48,216.33333333333334,237.0,79189961367.387,17016986550.424864,62172974816.96213,0.21488817845834957,6.886762393389737e-12,3.917397053476387e-11,50.0
UGC03546,30,191.33333333333334,262.0,62649214576.2425,4717405925.045952,57931808651.19655,0.0752987241253438,1.0223300011571593e-11,4.1298293095169087e-11,28.7
UGC03580,47,127.33333333333333,131.0,15101260771.544815,7656722808.418162,7444537963.126652,0.5070254016701482,2.8753500788667732e-12,1.841458252898279e-11,20.7
UGC04278,25,91.43333333333334,92.8,3221605993.220976,2321739803.8760557,899866189.3449199,0.7206777640597726,1.0035829969898755e-11,4.1717294392334796e-11,9.51
UGC04305,22,34.26666666666667,37.3,1417041605.9313447,956263469.6214014,460778136.30994326,0.6748309051891961,6.4839185715500155e-12,6.393447473689995e-12,3.45
UGC04325,8,91.93333333333334,92.7,2454885279.4241285,1111672192.875922,1343213086.5482066,0.4528407914591838,1.0953191776272137e-11,4.8537419105026164e-11,9.6
UGC04483,8,23.8,24.3,50297704.946734935,42967046.864914335,7330658.0818206,0.8542546207707938,4.789724500943703e-12,1.5685257802119455e-11,3.34
