galaxy,n_pts,V_flat,e_Vflat,V_max,M_b,M_gas,M_star,f_gas,SB,D
UGC02023,5,48.1,4.997554957732386,58.8,610094318.7900803,157944542.55557027,452149776.23451,0.25888545048051076,20.05,10.4
UGC02259,8,88.10000000000001,0.946337971105226,90.0,2004210324.1396265,735836040.9111451,1268374283.2284815,0.367145120473834,6.305,10.5
UGC02455,8,52.63333333333333,4.0585529258409165,61.0,2566744737.4906654,348489356.8079501,2218255380.6827154,0.1357709443084881,56.345,6.92
UGC02487,17,331.6666666666667,0.7200822998230956,383.0,704373009442.548,20414652957.947857,683958356484.6001,0.02898273029244028,6.11,69.1
UGC02885,19,298.0,0.0,305.0,547711022768.8305,60001096526.767265,487709926242.06323,0.10954882051386358,9.86,80.6
UGC02916,43,182.66666666666666,0.9813067629253164,218.0,304485953081.9234,11694174325.250338,292791778756.67303,0.03840628510735917,68.57000000000001,65.4
UGC02953,115,265.6666666666667,2.5962936545662054,319.0,648150264953.6564,4660527198.594302,643489737755.062,0.0071905041941586435,435.47,16.5
UGC03205,48,216.33333333333334,2.9938207967349957,237.0,208735057373.97943,6666771300.813153,202068286073.1663,0.03193891521953907,136.12,50.0
UGC03546,30,191.33333333333334,0.7200822998230956,262.0,294390611457.7023,2227075499.9188833,292163535957.7834,0.007565035749242523,169.59,28.7
UGC03580,47,127.33333333333333,1.6555182695279267,131.0,40678989119.29941,2904492479.9250994,37774496639.374306,0.07140031113868352,96.06,20.7
UGC04278,25,91.43333333333334,0.6152385866625378,92.8,1085993932.5938864,334543187.9729512,751450744.6209351,0.30805253872265925,10.46,9.51
UGC04305,22,34.26666666666667,0.536103914747326,37.3,959690923.4265847,426939313.26076317,532751610.16582155,0.4448716798699863,10.280000000000001,3.45
UGC04325,8,91.93333333333334,0.3138765975961244,92.7,1773920842.2111344,584428347.4674929,1189492494.7436414,0.3294557082598015,23.66,9.6
UGC04483,8,23.8,0.36817870057290913,24.3,34378892.01804828,24616744.691113558,9762147.32693472,0.7160424099238051,1.93,3.34
UGC04499,9,73.46666666666665,0.3600411499115478,74.3,2227820979.987841,1064842087.8804228,1162978892.1074183,0.4779747104662936,5.38,12.5
UGC05005,11,99.5,0.21602468994692955,100.0,8612320929.396465,4350657288.769558,4261663640.6269073,0.5051666472297199,4.27,53.7
UGC05253,73,214.33333333333334,1.5153535218873173,248.0,539206958802.16174,5530242701.26183,533676716100.8999,0.010256252466672838,330.75,22.9
UGC05414,6,56.666666666666664,2.2633963336019978,61.4,746495629.1847477,293332115.7677213,453163513.41702634,0.39294552345614003,16.03,9.4
UGC05716,12,73.39999999999999,0.5436502143433372,74.7,2067509567.777338,1422620638.040955,644888929.7363828,0.6880841860240258,0.2,21.3
UGC05721,23,79.0,0.21602468994692955,82.6,1383120124.5335665,533933847.5804461,849186276.9531205,0.38603577383454396,2.34,6.18
UGC05750,11,76.63333333333334,1.3551001056365886,78.9,3944847130.006612,1657759460.4212768,2287087669.585335,0.4202341448953684,10.94,58.7
UGC05764,10,51.48333333333333,1.2521832785031757,55.8,261034464.08175084,212254403.79908746,48780060.28266338,0.8131278930762705,1.81,7.47
UGC05829,11,64.96666666666665,1.8799133155744352,68.6,990696373.6128004,705124240.6653987,285572132.94740164,0.7117460600910471,3.62,8.64
UGC05918,8,42.76666666666667,0.7807878262560378,44.5,223172293.1795329,109017703.5875352,114154589.59199768,0.4884912102410265,3.6399999999999997,7.66
UGC05986,15,109.33333333333333,1.186342028003479,116.0,4783695995.821341,870478615.5834963,3913217380.2378445,0.1819677956843156,12.56,8.63
UGC05999,5,96.3,2.151485275080656,100.0,6565647344.336819,3897009989.8003335,2668637354.5364857,0.5935454320679725,2.23,47.7
UGC06399,9,85.76666666666665,0.8277591347639633,87.6,1988435794.6524553,568209788.2746277,1420226006.3778276,0.28575717144236035,11.73,18.0
UGC06446,17,82.53333333333333,1.0266810965796909,84.9,2286674183.6773243,1360696799.4300933,925977384.2472312,0.5950549532342572,1.67,12.0
UGC06614,13,203.66666666666666,0.7200822998230956,205.0,286478905593.6993,9797507423.018915,276681398170.68036,0.034199751645638786,27.3,88.7
UGC06628,7,42.3,0.0,42.3,2231910533.638546,630868025.3803169,1601042508.2582293,0.28265829470854803,17.12,15.1
UGC06667,9,84.89999999999999,0.4027681991198197,85.7,902297220.8034577,603876693.8556042,298420526.9478535,0.669265824977137,4.81,18.0
UGC06786,45,215.0,1.885618083164127,229.0,158996345908.69803,3130490228.36366,155865855680.33438,0.01968907027688115,142.07,29.3
UGC06787,71,252.0,1.414213562373095,276.0,310733235451.0366,2862798794.085785,307870436656.9508,0.0092130434323524,95.03,21.3
UGC06818,8,71.23333333333333,1.4849865942779392,74.4,1454396553.188302,301242896.9326973,1153153656.2556047,0.20712569503297984,8.59,18.0
UGC06917,11,108.66666666666667,1.5153535218873173,111.0,5903911003.406352,1253908984.1094024,4650002019.296949,0.21238615951120204,16.34,18.0
UGC06923,6,79.6,0.6480740698407835,81.1,2386591159.363758,642195721.4017704,1744395437.961988,0.26908493265891986,21.82,18.0
UGC06930,10,108.0,0.0,109.0,10882525766.031282,3785348020.5073094,7097177745.5239725,0.34783726699944006,8.48,18.0
UGC06973,9,178.33333333333334,0.7200822998230956,180.0,58545465963.56414,1255060695.3067102,57290405268.25743,0.021437367943877995,24.38,18.0
UGC06983,17,108.33333333333333,0.2721655269759087,113.0,8313174263.766531,3209664368.18246,5103509895.584071,0.3860937189987674,3.82,18.0
UGC07089,12,76.8,1.314026889628466,79.1,2951649251.9592285,797591607.3137083,2154057644.64552,0.2702189654764324,9.57,18.0
UGC07125,13,65.16666666666667,0.14401645996461826,65.6,5926121008.429149,3421109466.400295,2505011542.028854,0.5772932178627814,1.68,19.8
UGC07151,11,74.23333333333333,0.8772853752511957,76.2,1745030056.7208018,436915067.2193762,1308114989.5014257,0.2503768147354501,18.24,6.87
UGC07261,7,74.73333333333333,0.6365415816623309,76.1,1898324513.5003462,439085970.9259175,1459238542.5744288,0.23130184950110608,7.49,13.1
UGC07323,10,82.63333333333334,1.4393928761293244,85.6,2170581988.153253,379993932.3415323,1790588055.8117206,0.17506545913284477,38.85,8.0
UGC07399,10,103.0,1.414213562373095,106.0,1388086551.0526218,538193462.1297868,849893088.922835,0.3877232739713967,6.545,8.43
UGC07524,31,81.7,1.1575836902790217,83.8,2460360482.908681,1147655434.8793244,1312705048.0293565,0.4664582457943505,6.93,4.74
UGC07559,7,30.96666666666667,0.5682983045575304,32.1,137354565.36894754,67743656.87030001,69610908.49864753,0.4932028046416517,4.91,4.97
UGC07577,9,15.933333333333332,0.8722045291906831,17.8,35726766.75601317,13805789.558254275,21920977.1977589,0.38642706328667775,6.16,2.59
UGC07603,12,62.833333333333336,0.5931710140017395,64.0,530308128.05125666,188727665.1501904,341580462.90106624,0.35588303321639647,3.335,4.7
UGC07608,8,65.56666666666666,1.8704327088988042,69.3,393944581.56056684,265434434.56869155,128510146.9918753,0.6737862303301726,3.275,8.21
UGC07690,7,56.9,0.47140452079103173,60.7,1117835079.1574492,301342818.71716917,816492260.4402801,0.2695771713876627,6.57,8.11
UGC07866,7,30.633333333333336,1.1550212439925405,33.1,114643165.5121617,49750210.77850132,64892954.733660385,0.4339570575903512,5.83,4.57
