m_bar,vmax,r_vmax,g_bar,g_obs
41275907883.082375,232.564,3.5801594331266604,4.489779429204324e-10,4.895859085011662e-10
31250310008.857395,184.406,8.311927959846471,6.306434577433598e-11,1.325850705598021e-10
48622040153.528206,151.953,10.817980513728964,5.792604719513283e-11,6.917014119289919e-11
24905831118.984352,152.978,10.200029524653086,3.337576946428698e-11,7.435374165776131e-11
27017936226.749336,185.357,2.975199291408326,4.2555250779147983e-10,3.7423829094564397e-10
28624298789.489223,231.828,2.7347209920283437,5.336320600283839e-10,6.368909125491746e-10
61662031296.13226,232.509,2.6617950989075876,1.2133935748855831e-09,6.581899019828457e-10
39623575435.48863,140.307,20.4501033362858,1.3209785133384385e-11,3.1196758441635033e-11
35239769707.70593,198.514,4.589754945379392,2.332314812479938e-10,2.7825250432519773e-10
24690138765.8695,206.231,3.209625036905816,3.341550572925693e-10,4.294374305824948e-10
45522733982.8757,240.498,2.7630646589902566,8.313412813501309e-10,6.783880508615708e-10
25029377029.8199,204.784,3.3293475051668144,3.148218675852605e-10,4.082058415732967e-10
29656628284.617657,203.717,2.2900797165633304,7.884128230101288e-10,5.872868049403031e-10
39295010333.62858,148.867,20.264540891644522,1.3341263909815708e-11,3.5441035587456245e-11
31664747564.21612,203.528,2.4945379391792146,7.094616244204045e-10,5.38151451433804e-10
29699822852.08149,181.006,4.955417773841157,1.6862672922355276e-10,2.1426536130953316e-10
34259093593.15028,146.705,8.120165338057278,7.244013147684495e-11,8.589566745820778e-11
33119131975.19929,172.495,3.6594331266607614,3.4481362734005724e-10,2.635029649520562e-10
42635222911.13079,224.02,2.717596693238854,8.048809209146393e-10,5.984596577386261e-10
42092559787.4225,159.616,4.874963094183643,2.4694246485398897e-10,1.69366617265409e-10
42530410392.67789,230.48,2.72217301446708,8.002049441000662e-10,6.324075784081871e-10
19383968113.37467,182.374,2.9849424269264833,3.0332197462987974e-10,3.611072331841464e-10
38634780041.33451,227.021,2.1715382344257455,1.1422905631439847e-09,7.691497155864159e-10
38257750221.4349,236.621,1.6995866548568055,1.8465705649320106e-09,1.0676024407384237e-09
31497933274.284027,191.764,2.752878653675819,5.794834379109405e-10,4.329057869844159e-10
43790374963.094185,247.115,2.394154118689105,1.0651421282802287e-09,8.265943109021481e-10
26872733982.8757,146.784,3.6771479185119573,2.770912157221021e-10,1.898858644594483e-10
15891452612.931797,135.634,4.0918216710953645,1.3233152175431214e-10,1.4570241188522044e-10
44356214939.474464,246.814,1.9313551815766166,1.65791891690128e-09,1.0221714141442171e-09
36849852376.73457,145.765,19.044877472689695,1.4164866712899168e-11,3.615552153303085e-11
13661927959.846472,130.568,10.127251254797756,1.8572139067483385e-11,5.455420334848044e-11
34447003247.71184,243.908,2.540596397992324,7.440689738391684e-10,7.588618349662479e-10
29683643342.19073,208.911,2.799232359019782,5.281683958679076e-10,5.052775068250689e-10
