g_bar,g_obs,V_c,r_kpc
1.2296476392008189e-10,2.5555759599847486e-10,239.3747177339717,7.266312370829643
6.345749516565266e-10,4.715560956579174e-09,630.0795998714327,2.7283731916149985
1.0152216892276995e-10,2.066102543846872e-10,193.1753848522812,5.853262474165929
5.838976192088565e-11,1.6010405917349926e-10,211.61339152544642,9.064216120460586
2.6994201409804695e-10,2.944636898730908e-09,580.7705484013974,3.7121346324180693
8.753314943532166e-11,1.9222364190162166e-10,187.55333330535518,5.930469441984056
8.874249516080675e-11,2.87751518609891e-10,244.05729019668198,6.708296427516976
3.761761465911478e-10,4.7846619677754365e-09,659.2714067822109,2.94390315913788
4.795963211760142e-10,7.602413979884157e-10,234.1594112199468,2.337319161499852
1.23262572168903e-10,2.435797163420774e-10,205.7281041331471,5.631089459698848
4.15998823297543e-10,5.195352187577882e-09,662.0905878763753,2.7344257454974903
2.947003253467352e-10,4.4899265892049645e-10,191.42846685088432,2.644966046648952
1.0449483453382568e-10,1.957593533705872e-10,185.40526947842747,5.690729258931208
1.6837848972137198e-10,2.9097654135652907e-09,584.4747174480381,3.804694419840567
2.5481802159000515e-10,4.791748193327998e-10,235.40026071033867,3.7477118393858873
1.0201408602764038e-10,2.4968594875871953e-10,233.1001552529054,7.052406259226455
2.640378884835026e-10,2.312443045363948e-09,512.5520810693372,3.6817242397401833
3.3963591836431703e-10,5.269702466162694e-10,254.2620853404911,3.9757897844700327
1.0025355842074816e-10,1.8838116424753566e-10,226.25028618150256,8.806170652494833
5.926590284658548e-10,1.6006435686049472e-09,385.5572584800071,3.009743135518158
1.373602493151739e-10,2.625567776084608e-10,198.53017658993852,4.864924712134632
7.605674354436842e-11,1.9302525142143762e-10,214.69106393742803,7.738559196929436
1.9540962733627826e-10,1.6309389174575863e-09,457.2385777294536,4.154266312370829
1.3674691475823656e-10,2.7448933505642415e-10,194.70701113228307,4.475937407735459
7.154546080026652e-11,1.8875779939692766e-10,206.92069860712098,7.351048125184528
4.82222717033952e-10,5.068290036848263e-09,610.5446894182,2.383525243578388
3.25773115076325e-10,5.501653563560214e-10,237.1863548299874,3.313847062297018
1.0197034880218712e-10,2.1532845381012366e-10,212.83185559458866,6.817390020667257
7.442359782276658e-10,4.309688962006594e-09,539.9700701676553,2.192500738116327
2.6222764358972394e-10,5.258545849056135e-10,231.8402496680377,3.3125184529081784
9.571841155069945e-11,2.5516559201068045e-10,226.9657293865006,6.542515500442869
2.244889714602162e-10,1.9658712228053847e-09,466.0210848751693,3.5801594331266604
1.2879382211420073e-10,2.6335950845887173e-10,177.7711866928226,3.8888396811337467
7.02808301214289e-11,1.8959373536903381e-10,198.07426552858502,6.7062297018010035
3.153217288716799e-11,4.530801524311325e-10,340.8907794989643,8.311927959846471
3.877217446174978e-11,9.804750500671383e-11,131.416041849671,5.708296427516976
5.172384264995325e-11,1.6787608871237323e-10,192.08671702351063,7.122822556834957
2.8963023597566415e-11,2.535662853312493e-10,290.93481984647804,10.817980513728964
2.993351732610179e-11,9.837034647424677e-11,152.2353859946789,7.635075287865367
7.600408591674089e-11,3.637541409215171e-10,250.2838623182772,5.580897549453794
1.668788473214349e-11,3.1772561553796095e-10,316.230445263782,10.200029524653086
1.8451075100489362e-10,3.4850103859147573e-10,185.29961320462786,3.192943607912607
7.489610582697558e-11,1.7153638095491347e-10,181.02403180525636,6.191024505462061
2.1277625389573992e-10,3.526280199534944e-09,568.9751388520267,2.975199291408326
5.587663613945711e-10,8.684583530307461e-10,225.03532719174262,1.8897254207263066
1.775071691280486e-10,3.4762610083727487e-10,213.7462009361305,4.2592264540891644
2.6681603001419195e-10,3.921624996355594e-09,575.2629359985237,2.7347209920283437
3.386325331946103e-10,5.148607576541504e-10,231.64725589016302,3.3776203129613225
7.026140412528137e-11,1.2558507483625586e-10,188.52261701425567,9.17139061116032
6.066967874427916e-10,2.2751859397808323e-09,432.28743102930684,2.6617950989075876
3.575657572578985e-11,1.0448003235965775e-10,123.51088826688921,4.731768526719811
8.010374503865437e-11,2.724571910857952e-10,193.55579362972495,4.456155890168291
6.6048925666921925e-12,6.286223413676264e-11,199.167975844827,20.4501033362858
2.2936406062518294e-10,4.1510600865724525e-10,192.82291926447652,2.90271626808385
9.192559834726451e-11,2.0198403902067605e-10,193.27029072072094,5.993209329790375
1.166157406239969e-10,1.1034065304452588e-09,395.3114325417419,4.589754945379392
3.373761895159399e-10,5.799629745236804e-10,201.04816047926536,2.258635961027458
